Item;Quantity; Price (USD) ;Link; Price (ZAR) 
Nema 17 1A stepper motor 4pcs;1; $31,66 ;https://www.temu.com/za/1-0a--stepper-motor-for-3d-printer-laser-engraving-machine-lettering-machine-mechanical-arm-robot-etc-g-601099787236856.html?_oak_name_id=4562315086764550772&_oak_mp_inf=EPjrq5qn1ogBGiA3ODcwZmMzZjg4MDg0YzI1YTNhNTBkNjZlOGIyZDgyZiDY1aq0vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F28a281be-09ba-4300-8339-c340c0e521f9.jpg&spec_gallery_id=601099787236856&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=Mjg0MDA&_oak_gallery_order=796319410%2C1290522707%2C838627119%2C627195796%2C2098620581&search_key=nema%2017%20stepper%20motor%204&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768829765948_1ivn5px9lk&_x_sessn_id=tmp5ko66i9; R519,00 
Nema 17 1A stepper motor 2pcs;1; $16,96 ;https://www.temu.com/za/1-0a--stepper-motor-for-3d-printer-laser-engraving-machine-lettering-machine-mechanical-arm-robot-etc-g-601099787236856.html?_oak_name_id=4562315086764550772&_oak_mp_inf=EPjrq5qn1ogBGiA3ODcwZmMzZjg4MDg0YzI1YTNhNTBkNjZlOGIyZDgyZiDY1aq0vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F28a281be-09ba-4300-8339-c340c0e521f9.jpg&spec_gallery_id=601099787236856&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=Mjg0MDA&_oak_gallery_order=796319410%2C1290522707%2C838627119%2C627195796%2C2098620581&search_key=nema%2017%20stepper%20motor%204&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768829765948_1ivn5px9lk&_x_sessn_id=tmp5ko66i9; R278,00 
SG90 servo 6pcs;1; $10,13 ;https://www.temu.com/za/6pcs--9g-micro-servo-motor-kit-180-mini--for--rc-cars-airplanes-robots-high-torque-digital--with-orange-wires---control-robotics-projects-sleek-motor-design-durable-plastic-body-g-601103274948126.html?_oak_name_id=2575857611148448799&_oak_mp_inf=EJ7stJm01ogBGiAwNmM2MjE3YWVlODg0M2FkYWRiYmFiNzBiMzE4MTMwMiDAo8O0vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2Fa0549f0b-facc-4502-aa1c-d0bff2c49c48.jpg&spec_gallery_id=21258850651&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTY2MDA&_oak_gallery_order=1131001036%2C302502953%2C1634042843%2C1719232355&search_key=sg90s%20servo%206&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768829765948_1ivn5px9lk&_x_sessn_id=tmp5ko66i9; R166,00 
MG996R servo 6pcs;1; $19,03 ;https://www.temu.com/za/4-6pcs--servo-motor-180--servo-motor-torque-digital-servo-motor-high-speed-torque-servo-motor-for-smart-car-robot-boat-rc-helicopter-compatible---g-601099589889104.html?_oak_name_id=5101507758150417327&_oak_mp_inf=ENDYnrym1ogBGiBjYjYxYTVhNzY2NTg0ZGMwYWY3YmE4MzdkZTJlNzdiYyDEq8q0vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F67bae526-05a5-415a-bb15-fd81ebd4af6a.jpg&spec_gallery_id=5629&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjMwMDA&_oak_gallery_order=82259945%2C1570695%2C377796408%2C316533562%2C509977126&search_key=mg996r%206&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768829765948_1ivn5px9lk&_x_sessn_id=tmp5ko66i9&is_back=1&no_cache_id=z8wj4; R312,00 
M3 heated inserts 50pcs;1; $1,71 ;https://www.temu.com/za/50pcs--brass-embedment-insert-nut-for-hot-melt-heat--3d-print-plastic-board-double-twill-knurled-thread-g-601099714384815.html?_oak_mp_inf=EK%2Bnzfem1ogBGiA1NjY2OWZkNWNmNjI0YTFmYjM4MTlkZmJhZWZlZWM0NCCEjti0vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F16dbc840-0be4-40f6-8b7e-c3290bf71739.jpg&spec_gallery_id=17131&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjcwMA&_oak_gallery_order=1330346241%2C1573410786%2C480007225%2C1970973540%2C2104111225&search_key=m3%20heated%20inserts&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768831709404_kpc3xik191&_x_sessn_id=7jf87hv19j; R28,00 
M3 bolt 100pcs;1; $2,26 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099710769323&sku_id=17592956030182&_oak_page_source=501&_x_sessn_id=7jf87hv19j&refer_page_name=shopping_cart&refer_page_id=10037_1768832175459_4qajag1nsd&refer_page_sn=10037; R37,00 
Velcro strap;1; $1,04 ;https://www.temu.com/goods.html?_bg_fs=1&goods_id=601103090023104&sku_id=17607931424274&_oak_page_source=501&_x_sessn_id=7jf87hv19j&refer_page_name=shopping_cart&refer_page_id=10037_1768832403166_kqqasxj6t9&refer_page_sn=10037; R17,00 
PCA9685 IIC Module 2pcs;1; $7,38 ;https://www.temu.com/za/-2pcs-pca9685-16-channel-12-bit-pwm-servo-driver-board-iic-interface-pca9685-module-controller-for--and--g-601100796249446.html?_oak_mp_inf=EOaKvfuq1ogBGiA3ZTAyY2UyZDVkNmY0OWEyOTIyOWIxNjBjOWQwNjYyZiCm1o21vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F2dc35a4a-889e-41ad-9439-370c742f4741.jpg&spec_gallery_id=601100796249446&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MTIxMDA&_oak_gallery_order=248194735%2C2098382626%2C643488751%2C1320138785%2C438382682&search_key=pca9685&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768832332061_e7i4orpw8t&_x_sessn_id=7jf87hv19j; R121,00 
300W Buck converter (12v to 6v);1; $3,54 ;https://www.temu.com/za/-cc-adjustable-0-2-9a-300w-step-down--converter-5-40v-to-1-2-35v-power-supply-module-led-driver-for--g-601103211800462.html?_oak_mp_inf=EI7Ppvuz1ogBGiBkMzNmYjY1YzliNTg0ZjI2OTE0NmM4ZmNmMDhlNDEyMiDaw5K1vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Falgo_framework%2FImageCm2InAlgo%2F0e22dc7e-830e-11f0-a619-0a580aa81b48.jpg&spec_gallery_id=19118544041&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NjQwMA&_oak_gallery_order=1235367151%2C809226987%2C1730306329%2C154523011%2C1603632070&search_key=dc%20dc%20buck%20converter%20300w&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768832332061_e7i4orpw8t&_x_sessn_id=7jf87hv19j; R58,00 
12v to 5v buck converter;2; $4,51 ;https://www.temu.com/za/--24v-12v-to-5v-5a-step-down-power-supply--converter-replace--adjustable-usb-step-down-charging-module-for-phone-g-601103558509156.html?_oak_mp_inf=EOSE0KC11ogBGiAzOTQ5NjI4Nzk4MjA0M2YzYmZkZjVlNzQxMjAwZTg2ZiCi2Zm1vTM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F3e3d849d-3f87-4cce-8de2-86289f09a3ad.jpg&spec_gallery_id=21179535373&refer_page_sn=10009&refer_source=0&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MzcwMA&_oak_gallery_order=1559787426%2C1892121085%2C1670416381%2C312669027%2C1113799009&search_key=12v%20to%205v%20buck%20converter&refer_page_el_sn=200049&ab_scene=1&preload_js=2&refer_page_name=search_result&refer_page_id=10009_1768832332061_e7i4orpw8t&_x_sessn_id=7jf87hv19j; R74,00 
